PSCID,PSC_Description
AG47,R&D- ENERGY: WIND (COMMERCIALIZED)
AG50,R&D-ENERGY - NUCLEAR
AG51,R&D- ENERGY: NUCLEAR (BASIC RESEARCH)
AG52,R&D- ENERGY: NUCLEAR (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG53,NUCLEAR (ADVANCED)
AG54,NUCLEAR (ENGINEERING)
AG55,NUCLEAR (OPERATIONAL)
AG56,NUCLEAR (MANAGEMENT/SUPPORT)
AG57,R&D-ENERGY - NUCLEAR-COMERCLIZ
AG60,R&D-ENERGY - PETROLEUM
AG61,PETROLEUM (BASIC)
AG62,R&D- ENERGY: PETROLEUM (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG63,R&D- ENERGY: PETROLEUM (ADVANCED DEVELOPMENT)
AG64,R&D- ENERGY: PETROLEUM (ENGINEERING DEVELOPMENT)
AG65,R&D- ENERGY: PETROLEUM (OPERATIONAL SYSTEMS DEVELOPMENT)
AG66,PETROLEUM (MANAGEMENT/SUPPORT)
AG67,R&D- ENERGY: PETROLEUM (COMMERCIALIZED)
AG70,R&D-ENERGY - SOLAR/PHOTOVOLTAIC
AG71,SOLAR/PHOTOVOLTAIC (BASIC)
AG72,R&D- ENERGY: SOLAR/PHOTOVOLTAIC (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG73,SOLAR/PHOTOVOLTAIC (ADVANCED)
AG74,R&D- ENERGY: SOLAR/PHOTOVOLTAIC (ENGINEERING DEVELOPMENT)
AG75,R&D- ENERGY: SOLAR/PHOTOVOLTAIC (OPERATIONAL SYSTEMS DEVELOPMENT)
AG76,R&D-ENERGY - SOLAR/PHOTOVOLTAIC-MGM
AG77,R&D- ENERGY: SOLAR/PHOTOVOLTAIC (COMMERCIALIZED)
AG80,R&D-CONSERV OF ENERGY
AG81,R&D- ENERGY: CONSERVATION (BASIC RESEARCH)
AG82,R&D- ENERGY: CONSERVATION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG83,CONSERVATION OF ENERGY (ADVANCED)
AG84,R&D-CONSERV OF ENERGY-ENG DEV
AG85,R&D-CONSERV OF ENERGY-OPSY DEV
AG86,R&D- ENERGY: CONSERVATION (MANAGEMENT/SUPPORT)
AG87,R&D- ENERGY: CONSERVATION (COMMERCIALIZED)
AG90,R&D-OTHER ENERGY
AG91,OTHER ENERGY (BASIC)
AG92,R&D- ENERGY: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG93,R&D- ENERGY: OTHER (ADVANCED DEVELOPMENT)
AG94,OTHER ENERGY (ENGINEERING)
AG95,R&D- ENERGY: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)
AG96,R&D- ENERGY: OTHER (MANAGEMENT/SUPPORT)
AG97,R&D-OTHER ENERGY-COMERCLIZ
AH10,R&D-POLLUTION CONT/ABATE
AH11,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (BASIC RESEARCH)
AH12,R&D- ENVIRON PROTECTION: POLLUTION CONTROL/ABATEMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AH13,R&D-POLLUTION CONT/ABATE-ADV DEV
AH14,R&D-POLLUTION CONT/ABATE-ENG DEV
AH15,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (OPERATIONAL SYSTEMS DEVELOPMENT)
AH16,R&D- ENVIRONMENTAL PROTECTION: POLLUTION CONTROL/ABATEMENT (MANAGEMENT/SUPPORT)
AH17,R&D-POLLUTION CONT/ABATE-COMERCLIZ
AH20,R&D-AIR POLLUTION
AH21,R&D- ENVIRONMENTAL PROTECTION: AIR POLLUTION (BASIC RESEARCH)
AH22,AIR POLLUTION (APPLIED/EXPLORATORY)
AH23,AIR POLLUTION (ADVANCED)
AH24,AIR POLLUTION (ENGINEERING)
AH25,AIR POLLUTION (OPERATIONAL)
AH26,AIR POLLUTION (MANAGEMENT/SUPPORT)
AH27,R&D-AIR POLLUTION-COMERCLIZ
AH30,R&D-WATER POLLUTION
AH31,R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (BASIC RESEARCH)
AH32,R&D-WATER POLLUTION-A RES/EXPL DEV
AH33,WATER POLLUTION (ADVANCED)
AH34,WATER POLLUTION (ENGINEERING)
AH35,WATER POLLUTION (OPERATIONAL)
AH36,R&D-WATER POLLUTION-MGMT SUP
AH37,R&D-WATER POLLUTION-COMERCLIZ
AH40,R&D-NOISE POLLUTION
AH41,NOISE POLLUTION (BASIC)
AH42,R&D-NOISE POLLUTION-A RES/EXPL DEV
AH43,R&D- ENVIRONMENTAL PROTECTION: NOISE POLLUTION (ADVANCED DEVELOPMENT)
AH44,R&D- ENVIRONMENTAL PROTECTION: NOISE POLLUTION (ENGINEERING DEVELOPMENT)
AH45,R&D- ENVIRONMENTAL PROTECTION: NOISE POLLUTION (OPERATIONAL SYSTEMS DEVELOPMENT)
AH46,R&D-NOISE POLLUTION-MGMT SUP
AH47,R&D-NOISE POLLUTION-COMERCLIZ
AH50,R&D-OTHER POLLUTION
AH51,R&D-OTHER POLLUTION-RESEARCH
AH52,R&D-OTHER POLLUTION-EXPL DEV
AH53,R&D-OTHER POLLUTION-ADV DEV
AH54,R&D-OTHER POLLUTION-ENG DEV
AH55,R&D-OTHER POLLUTION-OPSY DEV
AH56,R&D-OTHER POLLUTION-MGMT SUP
AH57,R&D-OTHER POLLUTION-COMERCLIZ
AH90,R&D-OTHER ENVIRONMENT
AH91,R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)
AH92,R&D- ENVIRONMENTAL PROTECTION: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AH93,R&D-OTHER ENVIRONMENT-ADV DEV
AH94,R&D-OTHER ENVIRONMENT-ENG DEV
AH95,R&D-OTHER ENVIRONMENT-OPSY DEV
AH96,R&D- ENVIRONMENTAL PROTECTION: OTHER (MANAGEMENT/SUPPORT)
AH97,R&D- ENVIRONMENTAL PROTECTION: OTHER (COMMERCIALIZED)
AJ10,R&D-PHYSICAL SCIENCE
AJ11,PHYSICAL SCIENCES (BASIC)
AJ12,R&D-PHYSICAL SCIENCE-A RES/EXPL DEV
AJ13,PHYSICAL SCIENCES (ADVANCED)
AJ14,R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ENGINEERING DEVELOPMENT)
AJ15,PHYSICAL SCIENCES (OPERATIONAL)
AJ16,R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (MANAGEMENT/SUPPORT)
AJ17,R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (COMMERCIALIZED)
AJ21,R&D-MATH & COMPUTER SCI-B RES
AJ22,R&D- GENERAL SCI/TECH: MATHEMATICAL/COMPUTER SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AJ23,R&D- GENERAL SCIENCE/TECHNOLOGY: MATHEMATICAL/COMPUTER SCIENCES (ADVANCED DEVELOPMENT)
AJ24,R&D-MATH & COMPUTER SCI-ENG DEV
AJ25,R&D-MATH & COMPUTER SCI-OPSY DEV
AJ26,R&D- GENERAL SCIENCE/TECHNOLOGY: MATHEMATICAL/COMPUTER SCIENCES (MANAGEMENT/SUPPORT)
AJ27,R&D- GENERAL SCIENCE/TECHNOLOGY: MATHEMATICAL/COMPUTER SCIENCES (COMMERCIALIZED)
AJ31,ENVIRONMENTAL SCIENCES (BASIC)
AJ32,R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AJ33,ENVIRONMENTAL SCIENCES (ADVANCED)
AJ34,R&D-ENVIRONMENTAL SCI-ENG DEV
AJ35,R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT)
AJ36,R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (MANAGEMENT/SUPPORT)
AJ37,R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (COMMERCIALIZED)
AJ41,ENGINEERING (BASIC)
AJ42,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AJ43,ENGINEERING (ADVANCED)
AJ44,ENGINEERING (ENGINEERING)
AJ45,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (OPERATIONAL SYSTEMS DEVELOPMENT)
AJ46,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (MANAGEMENT/SUPPORT)
AJ47,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (COMMERCIALIZED)
AJ51,LIFE SCIENCES (BASIC)
AJ52,R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AJ53,R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (ADVANCED DEVELOPMENT)
AJ54,LIFE SCIENCES (ENGINEERING)
AJ55,R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT)
AJ56,R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (MANAGEMENT/SUPPORT)
AJ57,R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (COMMERCIALIZED)
AJ61,PSYCHOLOGICAL SCIENCES (BASIC)
AJ62,R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AJ63,R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (ADVANCED DEVELOPMENT)
AJ64,R&D-PSYCHOLOGICAL SCI-ENG DEV
AJ65,R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT)
AJ66,R&D-PSYCHOLOGICAL SCI-MGMT SUP
AJ67,R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (COMMERCIALIZED)
AJ71,SOCIAL SCIENCES (BASIC)
AJ72,R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AJ73,R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (ADVANCED DEVELOPMENT)
AJ74,SOCIAL SCIENCES (ENGINEERING)
AJ75,R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT)
AJ76,R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (MANAGEMENT/SUPPORT)
AJ77,R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (COMMERCIALIZED)
AJ91,R&D-OTHER SCIENCES-B RES
AJ92,R&D-OTHER SCIENCES-A RES/EXPL DEV
AJ93,R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ADVANCED DEVELOPMENT)
AJ94,R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ENGINEERING DEVELOPMENT)
AJ95,R&D-OTHER SCIENCES-OPSY DEV
AJ96,R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (MANAGEMENT/SUPPORT)
AJ97,R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (COMMERCIALIZED)
AK10,R&D-HOUSING
AK11,HOUSING (BASIC)
AK12,HOUSING (APPLIED/EXPLORATORY)
AK13,R&D- HOUSING: HOUSING (ADVANCED DEVELOPMENT)
AK14,R&D- HOUSING: HOUSING (ENGINEERING DEVELOPMENT)
AK15,R&D- HOUSING: HOUSING (OPERATIONAL SYSTEMS DEVELOPMENT)
AK16,R&D- HOUSING: HOUSING (MANAGEMENT/SUPPORT)
AK17,R&D-HOUSING-COMERCLIZ
AL10,R&D-EMPLOYMENT
AL11,R&D- INCOME SECURITY: EMPLOYMENT (BASIC RESEARCH)
AL12,R&D- INCOME SECURITY: EMPLOYMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AL13,R&D- INCOME SECURITY: EMPLOYMENT (ADVANCED DEVELOPMENT)
AL14,R&D- INCOME SECURITY: EMPLOYMENT (ENGINEERING DEVELOPMENT)
AL15,R&D- INCOME SECURITY: EMPLOYMENT (OPERATIONAL SYSTEMS DEVELOPMENT)
AL16,R&D- INCOME SECURITY: EMPLOYMENT (MANAGEMENT/SUPPORT)
AL17,R&D- INCOME SECURITY: EMPLOYMENT (COMMERCIALIZED)
AL20,R&D-INCOME MAINT
AL21,R&D- INCOME SECURITY: INCOME MAINTENANCE (BASIC RESEARCH)
AL22,R&D- INCOME SECURITY: INCOME MAINTENANCE (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AL23,R&D- INCOME SECURITY: INCOME MAINTENANCE (ADVANCED DEVELOPMENT)
AL24,R&D- INCOME SECURITY: INCOME MAINTENANCE (ENGINEERING DEVELOPMENT)
AL25,R&D- INCOME SECURITY: INCOME MAINTENANCE (OPERATIONAL SYSTEMS DEVELOPMENT)
AL26,R&D- INCOME SECURITY: INCOME MAINTENANCE (MANAGEMENT/SUPPORT)
AL27,R&D- INCOME SECURITY: INCOME MAINTENANCE (COMMERCIALIZED)
AL90,R&D-OTHER INCOME SECURITY
AL91,R&D- INCOME SECURITY: OTHER (BASIC RESEARCH)
AL92,R&D- INCOME SECURITY: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AL93,R&D- INCOME SECURITY: OTHER (ADVANCED DEVELOPMENT)
AL94,R&D- INCOME SECURITY: OTHER (ENGINEERING DEVELOPMENT)
AL95,R&D- INCOME SECURITY: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)
AL96,R&D- INCOME SECURITY: OTHER (MANAGEMENT/SUPPORT)
AL97,R&D- INCOME SECURITY: OTHER (COMMERCIALIZED)
AM10,R&D-INTERNATIONAL AFFAIRS
AM11,R&D-INTERNATIONAL AFFAIRS-B RES
AM12,R&D-INTERNATIONAL AFFAIRS-A RES/EXP
AM13,R&D- INTERNATIONAL AFFAIRS AND COOPERATION (ADVANCED DEVELOPMENT)
AM14,R&D-INTERNATIONAL AFFAIRS-ENG DEV
AM15,R&D- INTERNATIONAL AFFAIRS AND COOPERATION (OPERATIONAL SYSTEMS DEVELOPMENT)
AM16,R&D- INTERNATIONAL AFFAIRS AND COOPERATION (MANAGEMENT/SUPPORT)
AM17,R&D- INTERNATIONAL AFFAIRS AND COOPERATION (COMMERCIALIZED)
AN10,R&D-BIOMEDICAL
AN11,R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)
AN12,R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AN13,BIOMEDICAL (ADVANCED)
AN14,R&D- MEDICAL: BIOMEDICAL (ENGINEERING DEVELOPMENT)
AN15,R&D- MEDICAL: BIOMEDICAL (OPERATIONAL SYSTEMS DEVELOPMENT)
AN16,R&D- MEDICAL: BIOMEDICAL (MANAGEMENT/SUPPORT)
AN17,R&D- MEDICAL: BIOMEDICAL (COMMERCIALIZED)
AN20,R&D-DRUG DEPENDENCY
AN21,R&D- MEDICAL: DRUG DEPENDENCY (BASIC RESEARCH)
AN22,R&D- MEDICAL: DRUG DEPENDENCY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AN23,R&D- MEDICAL: DRUG DEPENDENCY (ADVANCED DEVELOPMENT)
AN24,R&D- MEDICAL: DRUG DEPENDENCY (ENGINEERING DEVELOPMENT)
AN25,DRUGS DEPENDENCY (OPERATIONAL)
AN26,R&D-DRUG DEPENDENCY-MGMT SUP
AN27,R&D- MEDICAL: DRUG DEPENDENCY (COMMERCIALIZED)
AN30,R&D-ALCOHOL DEPENDENCY
AN31,ALCOHOL DEPENDENCY (BASIC)
AN32,R&D- MEDICAL: ALCOHOL DEPENDENCY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AN33,ALCOHOL DEPENDENCY (ADVANCED)
AN34,R&D- MEDICAL: ALCOHOL DEPENDENCY (ENGINEERING DEVELOPMENT)
AN35,ALCOHOL DEPENDENCY (OPERATIONAL)
AN36,R&D- MEDICAL: ALCOHOL DEPENDENCY (MANAGEMENT/SUPPORT)
AN37,R&D-ALCOHOL DEPENDENCY-COMERCLIZ
AN40,R&D-HEALTH SVCS
AN41,HEALTH SERVICES (BASIC)
AN42,R&D-HEALTH SVCS-A RES/EXPL DEV
AN43,HEALTH SERVICES (ADVANCED)
AN44,R&D- MEDICAL: HEALTH SERVICES (ENGINEERING DEVELOPMENT)
AN45,HEALTH SERVICES (OPERATIONAL)
AN46,R&D- MEDICAL: HEALTH SERVICES (MANAGEMENT/SUPPORT)
AN47,R&D- MEDICAL: HEALTH SERVICES (COMMERCIALIZED)
AN50,R&D-MENTAL HEALTH
AN51,MENTAL HEALTH (BASIC)
AN52,R&D- MEDICAL: MENTAL HEALTH (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AN53,MENTAL HEALTH (ADVANCED)
AN54,R&D- MEDICAL: MENTAL HEALTH (ENGINEERING DEVELOPMENT)
AN55,R&D- MEDICAL: MENTAL HEALTH (OPERATIONAL SYSTEMS DEVELOPMENT)
AN56,MENTAL HEALTH (MANAGEMENT/SUPPORT)
AN57,R&D- MEDICAL: MENTAL HEALTH (COMMERCIALIZED)
AN60,R&D-MED REHAB ENGINEERING
AN61,REHABILITATIVE ENGINEERING (BASIC)
AN62,R&D- MEDICAL: REHABILITATIVE ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AN63,R&D-MED REHAB ENGINEERING-ADV DEV
AN64,R&D- MEDICAL: REHABILITATIVE ENGINEERING (ENGINEERING DEVELOPMENT)
AN65,R&D- MEDICAL: REHABILITATIVE ENGINEERING (OPERATIONAL SYSTEMS DEVELOPMENT)
AN66,R&D-MED REHAB ENGINEERING-MGMT SUP
AN67,R&D- MEDICAL: REHABILITATIVE ENGINEERING (COMMERCIALIZED)
AN70,R&D-SPEC MED SVCS
AN71,R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (BASIC RESEARCH)
AN72,R&D-SPEC MED SVCS-A RES/EXPL DEV
AN73,R&D-SPEC MED SVCS-ADV DEV
AN74,R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (ENGINEERING DEVELOPMENT)
AN75,R&D-SPEC MED SVCS-OPSY DEV
AN76,R&D-SPEC MED SVCS-MGMT SUP
AN77,R&D-SPEC MED SVCS-COMERCLIZ
AN81,AIDS RESEARCH (BASIC)
AN82,R&D- MEDICAL: AIDS RESEARCH (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AN83,AIDS RESEARCH (ADVANCED)
AN84,AIDS RESEARCH (ENGINEERING)
AN85,R&D- MEDICAL: AIDS RESEARCH (OPERATIONAL SYSTEMS DEVELOPMENT)
AN86,R&D- MEDICAL: AIDS RESEARCH (MANAGEMENT/SUPPORT)
AN87,R&D- MEDICAL: AIDS RESEARCH (COMMERCIALIZED)
AN90,R&D-OTHER MEDICAL
AN91,OTHER MEDICAL (BASIC)
AN92,R&D- MEDICAL: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AN93,R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)
AN94,OTHER MEDICAL (ENGINEERING)
AN95,R&D- MEDICAL: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)
AN96,R&D- MEDICAL: OTHER (MANAGEMENT/SUPPORT)
AN97,R&D-OTHER MEDICAL-COMERCLIZ
AP10,R&D-NAT RESOURCE-AQUACUL
AP11,R&D-NAT RESOURCE-AQUACUL-RESEARCH
AP12,R&D-NAT RESOURCE-AQUACUL-EXPL DEV
AP13,R&D-NAT RESOURCE-AQUACUL-ADV DEV
AP14,R&D-NAT RESOURCE-AQUACUL-ENG DEV
AP15,R&D-NAT RESOURCE-AQUACUL-OPSY DEV
AP16,R&D-NAT RESOURCE-AQUACUL-MGMT SUP
AP17,R&D-NAT RESOURCE-AQUACUL-COMERCLIZ
AP20,R&D-NAT RESOURCE-LAND
AP21,LAND (BASIC)
AP22,LAND (APPLIED/EXPLORATORY)
AP23,LAND (ADVANCED)
AP24,LAND (ENGINEERING)
AP25,R&D- NATURAL RESOURCE: LAND (OPERATIONAL SYSTEMS DEVELOPMENT)
AP26,LAND (MANAGEMENT/SUPPORT)
AP27,R&D- NATURAL RESOURCE: LAND (COMMERCIALIZED)
AP30,R&D-NAT RESOURCE-MINERAL
AP31,MINERAL (BASIC)
AP32,MINERAL (APPLIED/EXPLORATORY)
AP33,MINERAL (ADVANCED)
AP34,MINERAL (ENGINEERING)
AP35,R&D- NATURAL RESOURCE: MINERAL (OPERATIONAL SYSTEMS DEVELOPMENT)
AP36,MINERAL (MANAGEMENT/SUPPORT)
AP37,R&D-NAT RESOURCE-MINERAL-COMERCLIZ
AP40,R&D-NAT RESOURCE-RECREATN
AP41,R&D- NATURAL RESOURCE: RECREATION (BASIC RESEARCH)
AP42,RECREATION (APPLIED/EXPLORATORY)
AP43,RECREATION (ADVANCED)
AP44,R&D- NATURAL RESOURCE: RECREATION (ENGINEERING DEVELOPMENT)
AP45,R&D- NATURAL RESOURCE: RECREATION (OPERATIONAL SYSTEMS DEVELOPMENT)
AP46,R&D- NATURAL RESOURCE: RECREATION (MANAGEMENT/SUPPORT)
AP47,R&D-NAT RESOURCE-RECREATN-COMERCLIZ
AP50,R&D-NAT RES-MARINE & OCEAN
AP51,MARINE AND OCEANOGRAPHIC (BASIC)
AP52,R&D- NATURAL RESOURCE: MARINE AND OCEANOGRAPHIC (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AP53,MARINE AND OCEANOGRAPHIC (ADVANCED)
AP54,R&D-NAT RES-MARINE & OCEAN-ENG DEV
AP55,R&D-NAT RES-MARINE & OCEAN-OPSY DEV
AP56,R&D-NAT RES-MARINE & OCEAN-MGMT SUP
AP57,R&D-NAT RESOURCE-MARINE-COMERCLIZ
AP61,MARINE FISHERIES (BASIC)
AP62,R&D-NAT RES-MARINE FISHERIES-A RES/
AP63,R&D- NATURAL RESOURCE: MARINE FISHERIES (ADVANCED DEVELOPMENT)
AP64,R&D- NATURAL RESOURCE: MARINE FISHERIES (ENGINEERING DEVELOPMENT)
AP65,R&D- NATURAL RESOURCE: MARINE FISHERIES (OPERATIONAL SYSTEMS DEVELOPMENT)
AP66,R&D-NAT RES-MARINE FISHERIES-MGMT S
AP67,RDTE/Marine Fisheries - Operational System Dev
AP71,ATMOSPHERIC (BASIC)
AP72,R&D- NATURAL RESOURCE: ATMOSPHERIC (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AP73,R&D- NATURAL RESOURCE: ATMOSPHERIC (ADVANCED DEVELOPMENT)
AP74,ATMOSPHERIC (ENGINEERING)
AP75,ATMOSPHERIC (OPERATIONAL)
AP76,R&D- NATURAL RESOURCE: ATMOSPHERIC (MANAGEMENT/SUPPORT)
AP77,R&D- NATURAL RESOURCE: ATMOSPHERIC (COMMERCIALIZED)
AP90,R&D-OTHER NAT RESOURCE
AP91,R&D- NATURAL RESOURCE: OTHER (BASIC RESEARCH)
AP92,R&D-OTHER NAT RESOURCE-A RES/EXPL D
AP93,OTHER NATURAL RESOURCES (ADVANCED)
AP94,R&D-OTHER NAT RESOURCE-ENG DEV
AP95,R&D-OTHER NAT RESOURCE-OPSY DEV
AP96,R&D- NATURAL RESOURCE: OTHER (MANAGEMENT/SUPPORT)
AP97,R&D- NATURAL RESOURCE: OTHER (COMMERCIALIZED)
AQ10,R&D-SOCIAL SVCS-GERIATRIC
AQ11,R&D-SOCIAL SVCS-GERIATRIC-B RES
AQ12,R&D- SOCIAL SERVICES: GERIATRIC OTHER THAN MEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AQ13,R&D-SOCIAL SVCS-GERIATRIC-ADV DEV
AQ14,R&D-SOCIAL SVCS-GERIATRIC-ENG DEV
AQ15,R&D-SOCIAL SVCS-GERIATRIC-OPSY DEV
AQ16,R&D- SOCIAL SERVICES: GERIATRIC OTHER THAN MEDICAL (MANAGEMENT/SUPPORT)
AQ17,R&D-SOCIAL SVCS-GERIATRIC-COMERCLIZ
AQ90,R&D-OTHER SOCIAL SVCS
AQ91,R&D- SOCIAL SERVICES: OTHER (BASIC RESEARCH)
AQ92,R&D- SOCIAL SERVICES: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AQ93,OTHER SOCIAL SERVICES (ADVANCED)
AQ94,OTHER SOCIAL SERVICES (ENGINEERING)
AQ95,R&D- SOCIAL SERVICES: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)
AQ96,R&D-OTHER SOCIAL SVCS-MGMT SUP
AQ97,R&D- SOCIAL SERVICES: OTHER (COMMERCIALIZED)
AR10,R&D-AERO & SPACE TECH
AR11,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH)
AR12,R&D-AERO & SPACE TECH-A RES/EXPL DE
AR13,R&D-AERO & SPACE TECH-ADV DEV
AR14,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT)
AR15,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT)
AR16,R&D-AERO & SPACE TECH-MGMT SUP
AR17,R&D-AERO & SPACE TECH-COMERCLIZ
AR20,R&D-SPACE SCIENCE & APPL
AR21,R&D-SPACE SCIENCE & APPL-B RES
AR22,R&D-SPACE SCIENCE & APPL-A RES/EXPL
AR23,R&D- SPACE: SCIENCE/APPLICATIONS (ADVANCED DEVELOPMENT)
AR24,R&D-SPACE SCIENCE & APPL-ENG DEV
AR25,R&D- SPACE: SCIENCE/APPLICATIONS (OPERATIONAL SYSTEMS DEVELOPMENT)
AR26,R&D- SPACE: SCIENCE/APPLICATIONS (MANAGEMENT/SUPPORT)
AR27,R&D-SPACE SCIENCE-COMERCLIZ
AR30,R&D-SPACE TRANS SYSTEMS
AR31,R&D- SPACE: FLIGHT (BASIC RESEARCH)
AR32,R&D- SPACE: FLIGHT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AR33,R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT)
AR34,SPACE FLIGHT (ENGINEERING)
AR35,SPACE FLIGHT (OPERATIONAL)
AR36,R&D- SPACE: FLIGHT (MANAGEMENT/SUPPORT)
AR37,R&D-SPACE TRANS SYSTEMS -COMERCLIZ
AR40,R&D-SPACE TRACK DATA ACQ
AR41,R&D-SPACE TRACK DATA ACQ-B RES
AR42,R&D-SPACE TRACK DATA ACQ-A RES/EXPL
AR43,R&D-SPACE TRACK DATA ACQ-ADV DEV
AR44,R&D-SPACE TRACK DATA ACQ-ENG DEV
AR45,"R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (OPERATIONAL SYSTEMS DEVELOPMENT)"
AR46,R&D-SPACE TRACK DATA ACQ-MGMT SUP
AR47,"R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (COMMERCIALIZED)"
AR50,R&D-SPACE & TERRESTRIAL
AR51,R&D-SPACE & TERRESTRIAL-RESEARCH
AR52,RDTE/SP+TERRESTRIAL APP-APPLIED RES
AR53,R&D-SPACE & TERRESTRIAL-ADV DEV
AR54,RDTE/SP+TERRESTRIAL APP-DEMO/VALID
AR55,RDTE/SP+TERRESTRIAL APP-ENG/MANUF
AR56,R&D-SPACE & TERRESTRIAL-MGMT SUP
